item_id,value
subjects_taxon,"Bombus terrestris (worker female); morphological + COI molecular confirmation"
subjects_source,"Wild-collected, Royal NP NSW (May 2025); 1 commercial colony (Koppert, F2)"
subjects_n,"n=80 collected; n=72 in analysis (10% pre-trial attrition); a priori power from pilot"
nutrition_diet,"30% w/v sucrose ad libitum + commercial pollen; water dish refreshed daily"
env_housing,"30x30x30 cm acrylic cages; 24+/-1 C; 60% RH; L:D 12:12; dim red light in dark phase"
env_acclimation,""
env_field,"Heathland, Royal NP NSW (33.9S 151.2E); austral autumn; hand-net only"
health_monitoring,"Daily checks: activity, posture, integument, autotomy"
health_injury,"3 deaths over 14 d (suspected handling stress); no protocol change"
behaviour_general,"Foraging substrate + natural debris in cages; handling minimised to <=1x/day"
affect_indicators,"Lethargy and feeding cessation monitored; cold anaesthesia applied precautionarily for handling"
proc_handling,"Hand-net; <2 h transit in ventilated containers; cold immobilisation for marking"
proc_anaesthesia,"NA"
proc_biosecurity,"Double-door rearing room; spent animals frozen before disposal"
fate_end,"CO2 then freezing (<=-20 C); 30 vouchers deposited at Australian Museum (accession TBD)"
ethics_review,"No formal review required; welfare reasoning in Methods. NSW collection permit SL101234. IUCN: Least Concern"
ethics_endpoints,"Endpoint >10% mortality in 48 h (not triggered); no non-target captures"
ethics_statement,"Reduction: paired within-subject design. Refinement: cold anaesthesia for handling. No invasive procedures."
