item_id,item,domain,description,value
subjects_taxon,"Taxonomic ID, life stage, & sex",Subjects,"Species identification to the lowest practicable taxonomic level (with method); life stage(s) and sex where determinable or relevant; voucher specimens or imagery deposited as appropriate.",
subjects_source,"Source & culture history",Subjects,"Origin: wild-collected (with locality and date), laboratory colony (founding stock, source, date of establishment), or commercial supplier (named). For captive stock: generations in captivity, rearing conditions, and selection or inbreeding history.",
subjects_n,"Sample size & attrition",Subjects,"Total individuals collected or used and number contributing to analysis, with attrition accounted for. Justification of sample size (a priori power, pilot data, or stated convention). For bulk-sampling or mass-rearing work, report order-of-magnitude counts or ranges, and the unit of replication (colony, cycle, trap-day, batch), rather than individual totals.",
proc_handling,"Capture, transport, & handling",Procedures,"Capture method; transport duration, conditions, and mortality. Routine handling and restraint. Marking or tagging method, tag mass where relevant, retention checks. Where individual handling is not practicable (pitfall, Malaise, light, or sticky trapping and similar), report sampling effort (trap-days, trap-nights, deployment volume), trap design and check routine, and measures taken to reduce by-catch, retention time, and trapped-animal suffering.",
proc_anaesthesia,"Anaesthesia, analgesia, & invasive procedures",Procedures,"Anaesthetic or immobilisation agent or method; induction and recovery times; justification. Whether post-procedure analgesia was used, agent and dose, or explicit justification for omission. For surgical/invasive procedures: procedure, instruments, sterility, duration, recovery.",
proc_biosecurity,"Containment & biosecurity",Procedures,"Measures to prevent escape (particularly for non-native taxa) and procedures for disposal of waste and contaminated material.",
ethics_review,"Ethics review, permits, & conservation status","Ethics & compliance","Institutional or regulatory ethics review and permit numbers, or an explicit statement that none was required with the welfare reasoning applied. Collection or import permits. IUCN, national, or regional conservation status of focal taxa.",
ethics_endpoints,"Humane endpoints & non-target impacts","Ethics & compliance","Predefined criteria for terminating procedures or experiments early in response to welfare concerns, and any instances triggered. For field work: anticipated and observed non-target impacts, with mitigation.",
ethics_statement,"Welfare & 3Rs statement","Ethics & compliance","Brief statement summarising welfare considerations and how the three Rs (Replacement, Reduction, Refinement) informed study design.",
nutrition_diet,"Diet, feeding, & water",Nutrition,"Composition and source of diet or bait; preparation; feeding frequency and access; provision of water or moisture; any pre-experimental fasting with justification.",
env_housing,"Housing & abiotic conditions",Environment,"Enclosure materials, dimensions, substrate, and structural complexity. Stocking density and grouping. Temperature, humidity, ventilation, photoperiod and lighting, and water parameters for aquatic species.",
env_acclimation,Acclimation,Environment,"Duration and conditions of any acclimation period before experimental procedures.",
env_field,"Field site & collection",Environment,"Habitat type, location, abiotic conditions, and seasonality. Trap design, placement, deployment duration, checking frequency, and measures to limit injury, predation, exposure, or desiccation.",
health_monitoring,"Health monitoring",Health,"Methods and criteria for assessing physical condition (responsiveness, posture, integument, autotomy). Any screening for disease or parasites and quarantine procedures. Frequency of welfare checks.",
health_injury,"Injury & mortality",Health,"Number and timing of injuries and unexpected deaths, suspected causes, and any interventions or protocol adjustments. For colony or industrial-scale work where individual death counts are not meaningful (because of scale, cannibalism, or routine attrition), report the disease-screening and prevention regime, density and condition monitoring, and any conditions under which cohort losses triggered intervention or protocol change.",
fate_end,"End of study",Health,"Slaughter or euthanasia method and justification; release protocols for field-collected animals; continued holding, rehoming, or transfer arrangements; voucher specimen deposition. For mass-rearing work, use the welfare-community terminology for the context (slaughter method for farmed insects). For studies considering release, note the reasoning behind the choice between release, continued holding, rehoming, and slaughter, including disease-spread risk to wild conspecifics and any maladaptation incurred during captivity.",
behaviour_general,"Behavioural opportunities, enrichment, & disturbance",Behaviour,"Aspects of the setup that supported or constrained species-typical behaviour. Provision of refugia or enrichment. Measures to reduce ambient disturbance. For social or gregarious species, access to conspecifics and the structure of social grouping.",
affect_indicators,"Indicators & precautionary measures","Affective state","Taxon-appropriate behavioural and physiological indicators of stress, pain, or distress monitored, and how interpreted. Where capacity for affective experience is uncertain, the precautionary measures adopted.",
